"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"1","00673435","基山鐘錶眼鏡有限公司","基隆市忠二路三二號","","500000","0640816","1051007"
"2","03207048","利泰科學儀器有限公司","臺北市松山區寶清街34號1樓","","1500000","0740808","1051014"
"3","03600470","東益貿易股份有限公司","臺北市中山區復興北路2號11樓之6","","50000000","0480304","1051004"
"4","04383850","幸德實業股份有限公司","臺北市大同區重慶北路3段96號3樓之2","","5000000","0620808","1051006"
"5","04506500","汎辰企業有限公司","新北市三重區重陽路4段41號(1樓)","","2000000","0710429","1051020"
"6","04780387","昇隆有限公司","臺北市南港區中南街74巷39號1樓","","5000000","0691010","1051021"
"7","05183838","震大實業有限公司","臺北市大安區光復南路180巷14號4樓","","10000000","0711104","1051024"
"8","05500975","利申行股份有限公司","臺北市松山區八德路2段449號5樓","","21000000","0721024","1051027"
"9","05509949","趨向視覺創意有限公司","臺北市文山區興隆路2段203巷38號7樓","","1000000","0731127","1051013"
"10","06081042","大力機肥園藝股份有限公司","臺中市太平區德隆里德明路367巷25號1樓","","2000000","0731204","1051017"
"11","06783199","台灣庫寶貿易有限公司","高雄市三民區九如一路840號3樓","","5000000","0740904","1050926"
"12","09447925","尚亨裝潢工程股份有限公司","臺北市中山區八德路2段174巷11弄11號1樓","","10000000","0730704","1051031"
"13","11165458","永成煤氣有限公司","臺北市中山區龍江路281巷18號1樓","","2000000","0571003","1051013"
"14","12327327","翰鵬企業有限公司","臺北市中山區興安街44之1號","","1000000","0700505","1051004"
"15","12338197","瑋山實業有限公司","臺北市中山區民權西路20號11樓之1","","5000000","0700709","1051025"
"16","12357855","群巍貿易有限公司","臺北市中山區遼寧街112號2樓之3","","5000000","0701123","1051028"
"17","12376656","盛文貿易有限公司","臺北市內湖區成功路4段294巷68弄13號","","1000000","0710415","1051013"
"18","12457762","揚生針織股份有限公司","臺北市內湖區成功路4段223巷6弄3號1樓","","6000000","0720905","1051003"
"19","12472308","頂好洗染有限公司","臺北市北投區中央北路2段311號1樓","","3000000","0721213","1051006"
"20","12601534","太真陽國際有限公司","桃園市楊梅區瑞塘里萬大路73巷10弄1號","","5000000","0890818","1051014"
